id,titles,authors,info,fullurl,cultural_group
52,Return to Sender (Hardcover),Julia Alvarez,"Julia Alvarez (born March 27, 1950) is a Dominican-American poet, novelist, and essayist.  She rose to prominence with the novels How the García Girls Lost Their Accents (1991), In the Time of the Butterflies (1994), and Yo! (1997). Her publications as a poet include Homecoming (1984) and The Woman I Kept to Myself (2004), and as an essayist the autobiographical compilation Something to Declare (1998). Many literary critics regard her to be one of the most significant Latina writers and she has achieved critical and commercial success on an international scale.
Born in New York, she spent the first ten years of her childhood in the Dominican Republic, until her father's involvement in a political rebellion forced her family to flee the country. Many of Alvarez's works are influenced by her experiences as a Dominican in the United States, and focus heavily on issues of assimilation and identity. Her cultural upbringing as both a Dominican and an American is evident in the combination of personal and political tone in her writing. She is known for works that examine cultural expectations of women both in the Dominican Republic and the United States, and for rigorous investigations of cultural stereotypes. In recent years, Alvarez has expanded her subject matter with works such as In the Name of Salomé (2000), a novel with Cuban rather than solely Dominican characters and fictionalized versions of historical figures.
In addition to her successful writing career, Alvarez is the current writer-in-residence at Middlebury College.",https://en.wikipedia.org/wiki/Julia_Alvarez,Hispanic
53,A Chair for My Mother (Paperback),Vera B. Williams,"Vera Baker Williams (January 28, 1927 - October 16, 2015) was an American children's writer and illustrator. Her best known work, A Chair for My Mother, has won multiple awards and was featured on the children's television show Reading Rainbow. For her lifetime contribution as a children's illustrator she was U.S. nominee in 2004 for the biennial, international Hans Christian Andersen Award, the highest recognition available to creators of children's books. Additionally, she was awarded the 2009 NSK Neustadt Prize for Children's Literature.",https://en.wikipedia.org/wiki/Vera_Williams,Hispanic
54,"Four Feet, Two Sandals (Hardcover)",Karen Lynn Williams,Karen Lynn Williams is an American writer of children's literature. She is best known for her books about the difficulties of children in developing countries.,https://en.wikipedia.org/wiki/Karen_Lynn_Williams,Middle Eastern
55,Silent Music: A Story of Baghdad (Hardcover),James Rumford,"James Rumford: No information available.
",No URL available,Middle Eastern
56,Chato's Kitchen (Paperback),Gary Soto,"Gary Anthony Soto (born April 12, 1952) is an American poet, novelist, and memoirist.",https://en.wikipedia.org/wiki/Gary_Soto,Hispanic
57,Just in Case (Hardcover),Yuyi Morales,"Yuyi Morales (born in Xalapa, Veracruz, Mexico on November 7, 1968) is an author and illustrator of many notable and award-winning children's books.  Some of her most famous books include  Just a Minute: A Trickster Tale and Counting Book, Little Night, and Viva Frida, which received the 2015 Pura Belpre Medal for illustration as well as the 2015 Caldecott Award Honor. Morales is the  first Latina to receive the prestigious Caldecott Award.",https://en.wikipedia.org/wiki/Yuyi_Morales,Hispanic
58,My People (Hardcover),Langston Hughes,"James Mercer Langston Hughes (February 1, 1901 -May 22, 1967) was an American poet, social activist, novelist, playwright, and columnist from Joplin, Missouri. He moved to New York City as a young man, where he made his career. One of the earliest innovators of the then-new literary art form called jazz poetry, Hughes is best known as a leader of the Harlem Renaissance in New York City. He famously wrote about the period that ""the negro was in vogue"", which was later paraphrased as ""when Harlem was in vogue"".",https://en.wikipedia.org/wiki/Langston_Hughes,Black/African-American
59,"Bad News for Outlaws: The Remarkable Life of Bass Reeves, Deputy U. S. Marshal (Hardcover)",Vaunda Micheaux Nelson,"Vaunda Micheaux Nelson is an American writer known for her fiction and nonfiction books for children and young adults. She was the winner of the 2010 Coretta Scott King Award and Gelett Burgess Children's Book Honor for her non-fiction book Bad News for Outlaws: The Remarkable Life of Bass Reeves, Deputy U.S. Marshal about the life of Bass Reeves.  Nelson is also the author of The Book Itch: Freedom, Truth & Harlem's Greatest Bookstore. Her book Who Will I Be, Lord? received a Charlotte Zolotow Award Commendation in 2010.She is a youth services librarian at the public library in Rio Rancho, New Mexico, where she lives with her husband. She is the grand-niece of brothers Solomon Lightfoot Michaux, better known as Elder Michaux, minister and advisor to presidents, and Lewis H Michaux, the pioneer Harlem bookseller.",https://en.wikipedia.org/wiki/Vaunda_Micheaux_Nelson,Black/African-American
60,"My Colors, My World (Hardcover)",Maya Christina Gonzalez,"Maya Christina Gonzalez: No information available.
",No URL available,Hispanic
61,Bird (Hardcover),Zetta Elliott,"Zetta Elliott: No information available.
",No URL available,Black/African-American
62,Cendrillon: A Caribbean Cinderella (Paperback),Robert D. San Souci,"Robert Daniel San Souci (October 10, 1946 December 19, 2014) was a multiple award-winning children's book author, who resided in San Francisco, California. He often worked with his brother, Daniel San Souci, a children's book illustrator. He was a consultant to Disney Studios and was instrumental in the production of the film Mulan, for which he wrote the story. He studied folklore in graduate school.  He died after suffering a head injury while falling from a high height in San Francisco in December 2014.",https://en.wikipedia.org/wiki/Robert_D._San_Souci,West Indian
63,One Green Apple (Hardcover),Eve Bunting,"Anne Evelyn Bunting (Bolton) (born December 19, 1928), also known as Eve Bunting, is a Northern Ireland-born American writer of more than 250 books. Her work covers a broad array of subjects and includes fiction and non-fiction books. Her novels are primarily aimed at children and young adults, but she has also written the text for picture books. While many of her books are set in Northern Ireland, where she grew up, her topics and settings range from Thanksgiving to riots in Los Angeles. Bunting's first book, The Two Giants, was published in 1971. Due to the popularity of her books with children, she has been listed as one of the Educational Paperback Association's top 100 authors.",https://en.wikipedia.org/wiki/Eve_Bunting,Middle Eastern
